Nom de l'établissement,ville,region,latitude,longitude,surface
Bibliothèque Municipale de Vatilieu,Vatilieu,Auvergne-Rhône-Alpes,45.256252,5.409503,36.0
Bibliotheque Intercommunale - Le Blanc,Le Blanc,Centre-Val de Loire,46.638636,1.059885,382.0
Bibliothèque d'Ascain,Ascain,Nouvelle-Aquitaine,43.346884,-1.624425,82.0
Bibliothèque Bibliomotte,Saint-Jean-de-Galaure,Auvergne-Rhône-Alpes,45.200403,4.911417,45.0
Bibliothèque Municipale d'Anthon,Anthon,Auvergne-Rhône-Alpes,45.788582,5.169818,162.0
Bibliothèque Page à Page,Sainte-Foy,Pays de la Loire,46.546023,-1.671717,118.0
Bibliothèque de Sault-de-Navailles,Sault-de-Navailles,Nouvelle-Aquitaine,43.546153,-0.678287,80.0
Mairie de Troche,Troche,Nouvelle-Aquitaine,45.388742,1.438322,50.0
Point lecture d'Aschbach,Aschbach,Grand Est,48.934459,7.987216,
Bibliothèque Bernard Pivot,Quincié-en-Beaujolais,Auvergne-Rhône-Alpes,46.11801,4.616394,140.0
Bibliothèque de Arcis le Ponsart,Arcis-le-Ponsart,Grand Est,49.234732,3.694489,
